,Nom,Né le
93,Laurent Marcangeli,10 décembre 1980
94,Naïma Moutchou,4 novembre 1980
95,Bastien Lachaud,5 août 1980
96,Émilie Bonnivard,2 août 1980
97,Danièle Obono,12 juillet 1980
98,Audrey Dufeu Schubert,3 juin 1980
99,Fanélie Carrey-Conte,16 mai 1980
100,Olivier Véran,22 avril 1980
101,Damien Abad,5 avril 1980
102,Anissa Khedher,1er avril 1980
103,Sira Sylla,14 mars 1980
104,Nadia Hai,8 mars 1980
105,Aude Amadou,29 février 1980
106,Stéphanie Do,20 décembre 1979
107,Géraldine Bannier,22 novembre 1979
108,Romain Colas,22 novembre 1979
109,Célia De Lavergne,21 novembre 1979
110,Claire Pitollat,17 septembre 1979
111,Christophe Jerretie,31 août 1979
112,Virginie Duby-Muller,16 août 1979
113,Céline Calvez,24 juillet 1979
114,Alexandre Freschi,17 mai 1979
115,Julien Borowczyk,2 mai 1979
116,Florian Bachelier,5 avril 1979
117,Razzy Hammadi,22 février 1979
118,Benjamin Dirx,25 janvier 1979
119,Sébastien Denaja,14 janvier 1979
120,Jean François Mbaye,1er janvier 1979
121,Stéphanie Pernod Beaudon,13 octobre 1978
122,Olivia Gregoire,30 septembre 1978
123,Fabien Gouttefarde,27 septembre 1978
124,Catherine Fabre,19 septembre 1978
125,Mathieu Hanotin,22 août 1978
126,Olivier Dussopt,16 août 1978
127,Bruno Studer,18 juin 1978
128,Julien Aubert,11 juin 1978
129,Seybah Dagoma,9 juin 1978
130,Jean-Charles Colas-Roy,2 mai 1978
131,Élodie Jacquier-Laforge,15 avril 1978
132,Amélia Lakrafi,20 mars 1978
133,Perrine Goulet,19 mars 1978
134,Hugues Renson,11 février 1978
135,Laurent Grandguillaume,20 janvier 1978
136,Benjamin Griveaux,29 décembre 1977
137,Muriel Ressiguier,21 décembre 1977
138,Gaël Le Bohec,4 novembre 1977
139,Émilie Chalas,18 octobre 1977
140,Matthias Fekl,4 octobre 1977
141,Sylvia Pinel,28 septembre 1977
142,Pierre-Yves Bournazel,31 août 1977
143,Sébastien Pietrasanta,7 août 1977
144,Charlotte Lecocq,17 juillet 1977
145,Nicolas Bays,1er mai 1977
146,Thierry Robert,1er avril 1977
147,Jean Terlier,2 mars 1977
148,Jennifer De Temmerman,16 février 1977
149,Jean-Baptiste Moreau,14 février 1977
150,Caroline Fiat,28 janvier 1977
151,Guillaume Larrivé,24 janvier 1977
152,Marie-Pierre Rixain,18 janvier 1977
153,Adrien Taquet,3 janvier 1977
154,Sébastien Cazenove,28 décembre 1976
155,Xavier Batut,26 décembre 1976
156,Christophe Premat,7 décembre 1976
157,Cathy Racon-Bouzon,22 novembre 1976
158,Marie Guévenoux,2 novembre 1976
159,Bérangère Abba,22 octobre 1976
160,Bruno Bilde,22 septembre 1976
161,Caroline Abadie,7 septembre 1976
162,Paola Zanetti,1er septembre 1976
163,Guillaume Peltier,27 août 1976
164,Valérie Petit,23 juin 1976
165,Bénédicte Taurine,18 juin 1976
166,Alexandra Valetta Ardisson,7 juin 1976
167,Olivier Becht,28 avril 1976
168,Arnaud Leroy,23 avril 1976
169,Gwendal Rouillard,20 avril 1976
170,Fabien Lainé,15 avril 1976
171,Christelle Dubos,26 mars 1976
172,Patrice Anato,14 mars 1976
173,Yann Capet,31 décembre 1975
174,Eduardo Rihan Cypel,13 novembre 1975
175,François Ruffin,18 octobre 1975
176,Stéphanie Atger,11 octobre 1975
177,Sandrine Josso,19 septembre 1975
178,Christophe Arend,12 août 1975
179,Yannick Moreau,4 août 1975
180,Julie Sommaruga,1er août 1975
181,Stéphanie Kerbarh,31 juillet 1975
182,Boris Vallaud,25 juillet 1975
183,Antoine Savignat,22 juillet 1975
184,Nathalie Appéré,8 juillet 1975
185,Pierre Dharréville,15 juin 1975
186,Barbara Pompili,13 juin 1975
187,Anthony Cellier,1er juin 1975
188,Maina Sage,10 mai 1975
189,Arnaud Robinet,30 avril 1975
190,Philippe Latombe,21 avril 1975
191,Laurent Wauquiez,12 avril 1975
192,Cécile Duflot,1er avril 1975
193,Alain Chrétien,17 mars 1975
194,Justine Benin,12 mars 1975
195,Corinne Narassiguin,7 mars 1975
196,Cendra Motin,29 janvier 1975
197,Arnaud Viala,4 décembre 1974
198,Marion Lenne,20 novembre 1974
199,Carlos Da Silva,16 novembre 1974
200,Guillaume Chevrollier,27 octobre 1974
201,Axelle Lemaire,18 octobre 1974
202,Luc Belot,6 septembre 1974
203,Pierre Venteau,26 août 1974
204,Gwenegan Bui,27 juillet 1974
205,Guillaume Bachelay,13 juillet 1974
206,Éric Poulliat,9 juillet 1974
207,Florence Lasserre-David,29 juin 1974
208,Karine Daniel,22 juin 1974
209,Olivier Serva,21 juin 1974
210,Romain Grau,21 juin 1974
211,Pascal Brindeau,20 juin 1974
212,Catherine Troallic,10 mai 1974
213,Thomas Thévenoud,5 mai 1974
214,Sylvain Maillard,28 avril 1974
215,Barbara Romagnan,25 avril 1974
216,Cécile Rilhac,21 avril 1974
217,Stéphane Buchou,14 mars 1974
218,Rodrigue Kokouendo,8 mars 1974
219,Catherine Osson,7 février 1974
220,Franck Riester,3 janvier 1974
221,Sandra Marsaud,2 janvier 1974
222,Patrice Verchère,29 décembre 1973
223,Valérie Oppelt,10 décembre 1973
224,François De Rugy,6 décembre 1973
225,Stella Dupont,3 novembre 1973
226,Audrey Linkenheld,11 octobre 1973
227,Cédric Villani,5 octobre 1973
228,Florent Boudié,22 septembre 1973
229,Emmanuelle Fontaine-Domeizel,28 août 1973
230,Alexis Bachelay,19 août 1973
231,Stéphanie Rist,6 août 1973
232,David Comet,25 juillet 1973
233,Édouard Courtial,28 juin 1973
234,Éric Elkouby,24 juin 1973
235,Estelle Grelier,22 juin 1973
236,Aurélie Filippetti,17 juin 1973
237,Nathalie Elimas,5 juin 1973
238,Clémentine Autain,26 mai 1973
239,Nathalie Kosciusko-Morizet,14 mai 1973
240,Annaïg Le Meur,29 avril 1973
241,Valérie Rabault,25 avril 1973
242,Sébastien Chenu,13 avril 1973
243,Raphaël Gauvain,10 avril 1973
244,Christophe Blanchet,9 avril 1973
245,Delphine Batho,23 mars 1973
246,Jean-Félix Acquaviva,19 mars 1973
247,Karine Berger,11 mars 1973
248,Grégory Galbadon,21 janvier 1973
249,Nathalie Chabanne,3 janvier 1973
250,Xavier Paluszkiewicz,13 décembre 1972
251,Matthieu Orphelin,3 décembre 1972
252,Sophie Beaudouin-Hubiere,20 novembre 1972
253,François Cormier-Bouligeon,19 novembre 1972
254,Saïd Ahamada,7 novembre 1972
255,Jean-Paul Tuaiva,30 octobre 1972
256,Cédric Roussel,10 octobre 1972
257,Hélène Zannier,19 septembre 1972
258,Christian Assaf,1er septembre 1972
259,Jérôme Nury,25 août 1972
260,Rémi Chaintron,25 août 1972
261,Erwann Binet,30 juillet 1972
262,Nicolas Turquois,26 juillet 1972
263,Nicolas Démoulin,22 juillet 1972
264,Sébastien Nadot,8 juillet 1972
265,Nicole Sanquer,16 juin 1972
266,Pierre Cordier,27 mai 1972
267,Vincent Thiébaut,23 mai 1972
268,Philippe Chassaing,18 mai 1972
269,Sereine Mauborgne,3 mai 1972
270,Barbara Bessot Ballot,13 avril 1972
271,Pouria Amirshahi,27 mars 1972
272,Olivier Falorni,27 mars 1972
273,Laurence Trastour-Isnart,6 mars 1972
274,Régis Juanico,5 février 1972
275,Jérôme Guedj,23 janvier 1972
276,David Vergé,10 janvier 1972
277,Emeric Bréhier,26 décembre 1971
278,Sébastien Jumel,20 décembre 1971
279,Valérie Rosso-Debord,29 novembre 1971
280,Maud Petit,15 novembre 1971
281,Émilie Cariou,14 octobre 1971
282,Carole Delga,19 août 1971
283,Thierry Solère,17 août 1971
284,Samantha Cazebonne,10 août 1971
285,Fabienne Colboc,9 août 1971
286,Patrick Mignola,8 août 1971
287,Sophie Errante,22 juillet 1971
288,Albane Gaillot,7 juillet 1971
289,Emmanuelle Ajon,16 juin 1971
290,Luc Carvounas,8 juin 1971
291,Alain Perea,5 juin 1971
292,Bénédicte Pételle,4 juin 1971
293,Brahim Hammouche,17 mai 1971
294,Manuéla Kéclard-Mondésir,6 mai 1971
295,Lionel Causse,6 mai 1971
296,Arnaud Richard,30 avril 1971
297,Erwan Balanant,21 février 1971
298,Paul Christophe,10 février 1971
299,Olivier Marleix,6 février 1971
300,Christophe Léonard,31 janvier 1971
301,Thomas Rudigoz,11 janvier 1971
302,Marc Fesneau,11 janvier 1971
303,Pascale Boistard,4 janvier 1971
304,Séverine Gipson,13 décembre 1970
305,Anne Grommerch,11 décembre 1970
306,Yaël Braun-Pivet,7 décembre 1970
307,Edouard Philippe,28 novembre 1970
308,Anne Brugnera,28 novembre 1970
309,Hervé Saulignac,6 novembre 1970
310,Jean-François Cesarini,30 septembre 1970
311,Sabine Buis,15 septembre 1970
312,Didier Baichère,20 août 1970
313,Éric Pauget,18 août 1970
314,Eva Sas,13 août 1970
315,Élise Fajgeles,6 juillet 1970
316,Ségolène Neuville,21 juin 1970
317,Laurent Garcia,31 mai 1970
318,Bertrand Bouyx,26 mai 1970
319,Laurence Arribagé,25 mai 1970
320,Sergio Coronado,13 mai 1970
321,Yannick Kerlogot,12 mai 1970
322,Laurence Vanceunebrock-Mialon,6 mai 1970
323,Sébastien Leclerc,28 mars 1970
324,Hélène Geoffroy,4 mars 1970
325,Anne-Lise Dufour-Tonini,2 mars 1970
326,Christophe Cavard,19 février 1970
327,Anne-Laurence Petel,8 février 1970
328,Vincent Rolland,1er février 1970
329,Xavier Roseren,12 janvier 1970
330,Delphine Bagarry,9 janvier 1970
331,Jean-Noël Carpentier,9 décembre 1969
332,Jean-Luc Fugit,27 novembre 1969
333,Benoist Apparu,24 novembre 1969
334,Isabelle Attard,14 novembre 1969
335,Olivier Ferrand,8 novembre 1969
336,Véronique Riotton,2 novembre 1969
337,Valérie Bazin-Malgras,31 octobre 1969
338,Sébastien Huyghe,25 octobre 1969
339,Jean-Pierre Vigier,22 octobre 1969
340,Moetai Brotherson,22 octobre 1969
341,Martial Saddier,15 octobre 1969
342,Stéphane Viry,14 octobre 1969
343,Stéphane Travert,12 octobre 1969
344,Louis Aliot,4 septembre 1969
345,Fabrice Le Vigoureux,27 août 1969
346,Loïc Prud'Homme,19 août 1969
347,Valérie Gomez-Bassac,16 juillet 1969
348,Belkhir Belhaddad,9 juillet 1969
349,Jean-Louis Thiériot,26 juin 1969
350,Frédéric Roig,18 mai 1969
351,Cécile Helle,8 mai 1969
352,Fabien Roussel,16 avril 1969
353,Bruno Le Maire,15 avril 1969
354,Mustapha Laabid,29 mars 1969
355,Nathalie Nieson,26 mars 1969
356,Stéphane Mazars,25 mars 1969
357,Christophe Lejeune,22 mars 1969
358,Philippe Michel-Kleisbauer,6 mars 1969
359,Christophe Bouillon,4 mars 1969
360,David Douillet,17 février 1969
361,Fabrice Verdier,16 décembre 1968
362,Sophie Panonacle,16 décembre 1968
363,Frédéric Cuvillier,9 décembre 1968
364,Agnès Firmin le Bodo,20 novembre 1968
365,Véronique Hammerer,4 novembre 1968
366,Raphaël Gérard,17 octobre 1968
367,"Laurent, Emile, Michel Hénart",15 octobre 1968
368,Romain Joron,13 septembre 1968
369,Olivier Faure,18 août 1968
370,Alexis Corbière,17 août 1968
371,Emmanuelle Ménard,15 août 1968
372,Isabelle Rauch,10 août 1968
373,Sandrine Hurel,7 août 1968
374,Marine Le Pen,5 août 1968
375,Dominique Da Silva,30 juin 1968
376,Nicolas Sansu,17 juin 1968
377,Philippe Le Ray,16 juin 1968
378,Emmanuel Maquet,2 juin 1968
379,Gilles d'Ettore,23 mai 1968
380,Stéphane Testé,10 mai 1968
381,Sylvain Berrios,6 mai 1968
382,Lilian Zanchi,21 avril 1968
383,Fabrice Brun,2 avril 1968
384,Richard Ramos,23 mars 1968
385,Chaynesse Khirouni,17 mars 1968
386,Jean-Michel Jacques,29 février 1968
387,Philippe Huppé,12 février 1968
388,Nathalie Bassire,22 janvier 1968
389,Valérie Thomas,21 janvier 1968
390,Philippe Dunoyer,11 janvier 1968
391,Daniel Gibbes,8 janvier 1968
392,Sylvain Waserman,8 décembre 1967
393,Isabelle Muller-Quoy,8 novembre 1967
394,Annie Chapelier,7 novembre 1967
395,Jean-Christophe Lagarde,24 octobre 1967
396,Marc Joulaud,3 septembre 1967
397,Michèle Crouzet,31 août 1967
398,Pascal Lavergne,28 août 1967
399,Patricia Mirallès,22 août 1967
400,Pierre Vatin,21 août 1967
401,Jean Jacques Vlody,19 août 1967
402,Aude Luquet,18 août 1967
403,Paul-André Colombani,17 août 1967
404,Isabelle Florennes,2 août 1967
405,Jean-Michel Mis,28 juillet 1967
406,Benoit Potterie,23 juillet 1967
407,François André,19 juillet 1967
408,Valérie Pecresse,14 juillet 1967
409,Claire Mallejac,8 juillet 1967
410,Benoît Hamon,26 juin 1967
411,Jean-Hugues Ratenon,25 juin 1967
412,Guillaume Vuilletet,20 juin 1967
413,Jean-Jacques Ferrara,16 juin 1967
414,Valérie Corre,17 mai 1967
415,Jean-David Ciot,1er mai 1967
416,Ericka Bareigts,16 avril 1967
417,Frédéric Descrozaille,16 avril 1967
418,Laurence Maillart-Méhaignerie,5 avril 1967
419,Vincent Feltesse,4 avril 1967
420,Christophe Euzet,2 avril 1967
421,Philippe Bolo,25 mars 1967
422,Michel Havard,24 mars 1967
423,Liliana Tanguy,12 mars 1967
424,Bernadette Laclais,10 mars 1967
425,Buon Tan,10 mars 1967
426,Olivier Gaillard,28 février 1967
427,Pascal Popelin,27 février 1967
428,Corinne Erhel,3 février 1967
429,Bruno Questel,21 décembre 1966
430,Sandrine Mazetier,16 décembre 1966
431,Roland Lescure,26 novembre 1966
432,Laurent Pietraszewski,19 novembre 1966
433,Jérôme Chartier,14 novembre 1966
434,Cécile Dumoulin,10 novembre 1966
435,Philippe Gosselin,23 octobre 1966
436,Éric Bothorel,20 octobre 1966
437,Isabelle Le Callennec,14 octobre 1966
438,Thierry Benoit,13 septembre 1966
439,Frédérique Lardet,1er septembre 1966
440,Pascal Cherki,1er septembre 1966
441,François-Michel Lambert,24 août 1966
442,Michel Larive,22 août 1966
443,Christophe Sirugue,14 août 1966
444,Olivier Damaisin,5 août 1966
445,Anne Blanc,20 juillet 1966
446,Nicolas Perruchot,9 juillet 1966
447,Vincent Ledoux,21 juin 1966
448,Jean-Marc Germain,12 juin 1966
449,Lionel Tardy,7 juin 1966
450,Pascal Thévenot,3 juin 1966
451,Marie-Hélène Thoraval,3 juin 1966
452,Guillaume Garot,29 mai 1966
453,Philip Cordery,17 avril 1966
454,Loïc Dombreval,16 avril 1966
455,Victor Brial,9 avril 1966
456,Rémy Rebeyrotte,27 mars 1966
457,Isabelle Bruneau,26 mars 1966
458,François Jolivet,21 mars 1966
459,Philippe Meunier,16 mars 1966
460,Jean-Carles Grelier,15 mars 1966
461,Yann Galut,14 mars 1966
462,Jean-Claude Flory,7 mars 1966
463,Hubert Julien-Laferrière,27 février 1966
464,Michel Zumkeller,21 janvier 1966
465,Christophe Castaner,3 janvier 1966
466,Frédéric Soulier,8 décembre 1965
467,"Philippe, Lucien, Marie Morenvillier",6 décembre 1965
468,Patrice Prat,28 novembre 1965
469,Valérie Lacroute,29 octobre 1965
470,Florence Provendier,28 octobre 1965
471,Jean-Luc Warsmann,22 octobre 1965
472,Franck Reynier,20 octobre 1965
473,Jean-François Portarrieu,14 octobre 1965
474,Pascale Boyer,28 septembre 1965
475,Éric Ciotti,28 septembre 1965
476,Laurence Gayte,25 septembre 1965
477,Laurent Degallaix,11 septembre 1965
478,Danièle Cazarian,31 août 1965
479,Béatrice Piron,30 août 1965
480,Daniel Goldberg,24 août 1965
481,Laurent Baumel,13 août 1965
482,Carole Bureau-Bonnard,9 août 1965
483,Éric Diard,21 juillet 1965
484,Didier Le Gac,19 juillet 1965
485,François Baroin,21 juin 1965
486,Hugues Fourage,4 juin 1965
487,Laurent Furst,19 mai 1965
488,Jean-Philippe Nilor,15 mai 1965
489,Bertrand Sorre,8 mai 1965
490,Bruno Le Roux,2 mai 1965
491,Stéphane Baudu,1er mai 1965
492,Xavier Bertrand,21 mars 1965
493,Marie-Christine Verdier-Jouclas,19 mars 1965
494,Marie Récalde,12 mars 1965
495,Laure De la Raudière,12 février 1965
496,Ibrahim Aboubacar,1er février 1965
497,Gilles Artigues,4 janvier 1965
498,Marietta Karamanli,18 décembre 1964
499,Marie-France Lorho,15 décembre 1964
500,Damien Meslot,11 novembre 1964
501,Pierre-Yves Le Borgn',4 novembre 1964
502,Christine Cloarec-Le Nabour,28 octobre 1964
503,Malek Boutih,27 octobre 1964
504,Pascal Terrasse,26 octobre 1964
505,Manuel Aeschlimann,22 octobre 1964
506,David Lorion,15 octobre 1964
507,Monique Orphé,15 octobre 1964
508,Christine Pires Beaune,6 octobre 1964
509,Franck Marlin,30 septembre 1964
510,Béatrice Santais,17 septembre 1964
511,Sylvain Brial,16 septembre 1964
512,Éric Straumann,17 août 1964
513,Luc Chatel,15 août 1964
514,Jean-Bernard Sempastous,5 août 1964
515,Annick Girardin,3 août 1964
516,Christophe Di Pompeo,15 juillet 1964
517,Jérôme Rivière,8 juillet 1964
518,Patrick Hetzel,2 juillet 1964
519,Emmanuelle Anthoine,2 juillet 1964
520,Napole Polutele,25 juin 1964
521,Stéphane Claireaux,23 juin 1964
522,Jean-Marie Fiévet,19 juin 1964
523,Agnès Thill,2 juin 1964
524,Stéphane Saint-André,21 mai 1964
525,Eric Berdoati,9 mai 1964
526,Jean-François Copé,5 mai 1964
527,Didier Robert,26 avril 1964
528,Sylviane Bulteau,21 avril 1964
529,Jean-Claude Perez,31 mars 1964
530,Martine Wonner,27 mars 1964
531,Dominique Potier,17 mars 1964
532,Stéphane Alaize,16 mars 1964
533,Jean-Philippe Ardouin,5 mars 1964
534,Patrice Perrot,24 février 1964
535,Jacques Houssin,16 février 1964
536,Michèle De Vaucouleurs,12 février 1964
537,Catherine Beaubatie,10 février 1964
538,Yves Censi,8 février 1964
539,Alain Leboeuf,2 février 1964
540,Thierry Braillard,24 janvier 1964
541,Philippe Bies,14 janvier 1964
542,Frédérique Massat,14 janvier 1964
543,Christophe Masse,16 novembre 1963
544,Philippe Chalumeau,8 novembre 1963
545,Nadine Morano,6 novembre 1963
546,Jean-Philippe Mallé,31 octobre 1963
547,Mireille Clapot,14 octobre 1963
548,Frédéric Lefebvre,14 octobre 1963
549,Patrick Lebreton,6 septembre 1963
550,Christophe Borgel,3 septembre 1963
551,Jean-Louis Costes,23 août 1963
552,Sophie Auconie,19 août 1963
553,Véronique Besse,11 août 1963
554,Monique Lubin,16 juillet 1963
555,Philippe Folliot,14 juillet 1963
556,Jean-Jacques Gaultier,13 juillet 1963
557,Gilles Lurton,6 juillet 1963
558,Alain Belviso,4 juillet 1963
559,Nicole Trisse,29 juin 1963
560,Stéphane Demilly,26 juin 1963
561,Corinne Vignon,10 juin 1963
562,Bernard Cazeneuve,2 juin 1963
563,Frédérique Dumas,18 mai 1963
564,Anne Genetet,20 avril 1963
565,"Guy, Georges, Camille Lefrand",11 mars 1963
566,Valérie Beauvais,8 mars 1963
567,Yves Nicolin,5 mars 1963
568,Dominique David,27 février 1963
569,Véronique Carrion-Bastok,19 février 1963
570,Antoine Herth,14 février 1963
571,Edouard Jacque,10 février 1963
572,Jean-Frédéric Poisson,22 janvier 1963
573,Daniel Fasquelle,16 janvier 1963
574,Corinne Marchal-Tarnus,28 décembre 1962
575,Philippe Rouault,17 décembre 1962
576,Vincent Descoeur,13 décembre 1962
577,Xavier Breton,25 novembre 1962
578,Arnaud Montebourg,30 octobre 1962
579,François Vannson,20 octobre 1962
580,Michèle Tabarot,13 octobre 1962
581,Jean-Marie Beffara,13 octobre 1962
582,Patrick Malavieille,10 octobre 1962
583,Sylvie Tolmont,9 octobre 1962
584,Alain Fauré,1er octobre 1962
585,Marie Tamarelle-Verhaeghe,27 septembre 1962
586,Jean-Christophe Fromantin,30 août 1962
587,Sophie Rohfritsch,27 août 1962
588,Claude Sturni,25 août 1962
589,Manuel Valls,13 août 1962
590,Françoise Guégot,11 août 1962
591,Rodolphe Thomas,8 août 1962
592,Aude Bono-Vandorme,3 août 1962
593,François Pupponi,31 juillet 1962
594,Stéphane Peu,24 juillet 1962
595,Linda Gourjade,13 juillet 1962
596,Yannick Trigance,13 juillet 1962
597,Michel Pouzol,5 juillet 1962
598,Richard Ferrand,1er juillet 1962
599,Clotilde Valter,24 juin 1962
600,Franck Dhersin,18 juin 1962
601,Anne-France Brunet,12 juin 1962
602,Valérie Boyer,11 juin 1962
603,Sophie Primas,7 juin 1962
604,Jean-Louis Roumégas,6 juin 1962
605,Denis Baupin,2 juin 1962
606,Pascale Fontenel-Personne,26 mai 1962
607,Paul Molac,21 mai 1962
608,Florence Granjus,17 mai 1962
609,Jimmy Pahun,15 mai 1962
610,Nathalie Sarles,17 avril 1962
611,Jacques Maire,4 avril 1962
612,Marie-Anne Chapdelaine,20 mars 1962
613,Mireille Robert,1er mars 1962
614,Fadila Khattabi,23 février 1962
615,Éric Girardin,12 février 1962
616,Bertrand Kern,4 février 1962
617,Jean-Patrick Gille,28 janvier 1962
618,Isabelle Valentin,20 janvier 1962
619,Patricia Lemoine,30 décembre 1961
620,Sylvie Andrieux,15 décembre 1961
621,Ary Chalus,6 décembre 1961
622,Philippe Baumel,14 novembre 1961
623,Sandrine Mörch,13 novembre 1961
624,Louis Mussington,9 novembre 1961
625,Éric Jalton,16 septembre 1961
626,Franck Montaugé,14 septembre 1961
627,Michel Grall,11 septembre 1961
628,"Didier, Georges Arnal",8 septembre 1961
629,Hervé Morin,17 août 1961
630,Anne-Christine Lang,10 août 1961
631,Bruno Sandras,4 août 1961
632,Michèle Peyron,22 juillet 1961
633,Bruno Nestor Azerot,22 juillet 1961
634,Emmanuelle Bouquillon,2 juillet 1961
635,Gaël Yanno,2 juillet 1961
636,Catherine Lemorton,20 juin 1961
637,Joëlle Borowski,3 juin 1961
638,Ramlati Ali,28 mai 1961
639,Marc Delatte,24 mai 1961
640,Philippe Cochet,23 mai 1961
641,Michel Ménard,20 mai 1961
642,Nadia Ramassamy,17 mai 1961
643,Philippe Doucet,16 mai 1961
644,Sylvie Charrière,15 mai 1961
645,Meyer Habib,28 avril 1961
646,Béatrice Descamps,24 avril 1961
647,Yves Jégo,17 avril 1961
648,Pascale Got,1er avril 1961
649,Véronique Louwagie,20 mars 1961
650,Olivier Carré,16 mars 1961
651,David Habib,16 mars 1961
652,Olivier de Chazeaux,13 mars 1961
653,Nicolas Dupont-Aignan,7 mars 1961
654,Jean-Marie Sermier,5 mars 1961
655,François Grosdidier,25 février 1961
656,Natalia Pouzyreff,18 février 1961
657,Nicolas Forissier,17 février 1961
658,Henri Plagnol,11 février 1961
659,Frédéric Petit,10 février 1961
660,Olivier Dosne,20 janvier 1961
661,Christian Hutin,18 janvier 1961
662,Fabienne Labrette-Ménager,8 janvier 1961
663,Bruno Gilles,26 décembre 1960
664,Frédérique Meunier,8 décembre 1960
665,Nicolas Dhuicq,29 novembre 1960
666,Bruno Retailleau,20 novembre 1960
667,Constance Le Grip,14 novembre 1960
668,Jean-Pierre Barbier,11 novembre 1960
669,Eric Duboc,30 octobre 1960
670,Philippe Briand,26 octobre 1960
671,Thierry Lazaro,27 septembre 1960
672,Boinali Said,25 septembre 1960
673,Didier Gonzales,14 septembre 1960
674,Christophe Caresche,2 septembre 1960
675,Frédéric Barbier,30 août 1960
676,Thierry Michels,27 août 1960
677,Olivier Audibert Troin,16 août 1960
678,Philippe Naillet,14 août 1960
679,Sabine Rubin,13 août 1960
680,Laurent Dominati,5 août 1960
681,Catherine Vautrin,26 juillet 1960
682,Denys Robiliard,22 juillet 1960
683,Jean-Luc Moudenc,19 juillet 1960
684,Vincent Peillon,7 juillet 1960
685,Jean-Philippe Maurer,7 juillet 1960
686,Laurence Abeille,17 juin 1960
687,Renaud Dutreil,12 juin 1960
688,Hervé Gaymard,31 mai 1960
